Employee ID,Gender,Age,ServiceYear,Education,MarrigeStatus,Nationality,Department,EmploymentStatus
00379720,F,30.44,1.33,Bachelor,Married,China,20069031,0
10407054,F,27.95,1.33,Bachelor,Unmarried,China,20069051,0
10424275,F,28.60,1.33,Bachelor,Unmarried,China,20069041,1
10426422,F,24.76,1.05,Bachelor,Unmarried,China,20069031,0
10446306,F,38.50,1.26,Bachelor,Married,China,20069051,0
10447982,F,27.38,1.22,Bachelor,Unmarried,China,20069031,0
10449095,F,34.48,1.21,Bachelor,Unmarried,China,20069041,0
10450280,F,33.47,1.15,Bachelor,Married,China,20069041,0
10450511,F,26.95,0.49,Bachelor,Unmarried,China,20069041,0
10451277,M,36.05,1.11,Bachelor,Unmarried,China,20060010,1
10452154,F,30.76,1.08,Bachelor,Married,China,20069031,1
10452169,F,26.50,1.05,Bachelor,Married,China,20069041,0
10454168,F,30.97,1.03,Bachelor,Married,China,20069031,0
10454171,F,28.22,1.03,Bachelor,Married,China,20069041,0
10454308,M,36.12,1.02,Bachelor,Unmarried,China,20069031,0
10454314,F,25.88,1.00,Bachelor,Unmarried,China,20069031,0
10455805,M,27.67,0.96,Bachelor,Unmarried,China,20069031,0
10457880,F,34.86,0.86,Bachelor,Unmarried,China,20069011,1
10458527,F,29.39,0.80,Bachelor,Unmarried,China,20069031,1
10459410,F,33.42,0.84,Bachelor,Unmarried,China,20069021,0
10460346,F,25.99,0.82,Bachelor,Unmarried,China,20069021,0
10461587,F,33.45,0.73,Bachelor,Unmarried,China,20069031,0
10462104,F,26.00,0.79,Bachelor,Unmarried,China,20069031,0
10462673,F,37.08,0.71,Bachelor,Unmarried,China,20069031,0
10465602,F,27.37,0.59,Bachelor,Unmarried,China,20069031,0
10465812,F,33.09,0.60,Bachelor,Unmarried,China,20069031,0
10466507,F,40.44,0.58,Bachelor,Unmarried,China,20069021,1
10468109,F,28.36,0.54,Master,Unmarried,China,20069031,0
10471621,F,32.52,0.42,Master,Unmarried,China,20069041,0
10471622,F,28.78,0.38,Master,Unmarried,China,20069031,0
10471633,F,27.01,0.34,Master,Unmarried,China,20069031,0
10473912,F,35.39,0.28,Master,Married,China,20069021,0
2000030017,F,42.36,23.16,College,Married,China,20069051,0
2000040015,F,51.55,23.03,College,Married,China,20069021,0
2004081650,F,45.38,18.75,Master,Married,China,20069031,0
2004090001,F,44.86,18.67,College,Married,China,20069051,0
2005080001,F,41.04,17.76,Bachelor,Married,China,20069011,0
2006056011,F,38.51,16.99,Bachelor,Married,China,00403000,1
2006062031,F,40.86,16.87,Bachelor,Married,China,20069021,0
2007100009,F,45.42,15.54,Master,Married,China,20053000,1
2008080030,F,38.60,14.69,Bachelor,Married,China,20069041,0
2009100003,F,37.44,13.56,Bachelor,Unmarried,China,20069021,1
2010066033,F,49.62,12.91,Master,Married,China,20060010,1
2010110001,M,40.70,12.50,Bachelor,Married,China,20060040,1
2010116032,F,40.55,5.18,Bachelor,Married,China,20069031,0
2011100078,F,36.03,11.51,Bachelor,Married,China,20060040,1
2011126019,F,34.45,11.37,Bachelor,Married,China,20060040,1
2011126038,F,45.85,12.84,Bachelor,Married,China,20060040,1
2012010052,M,43.15,11.33,Master,Married,China,20060010,1
2012040043,M,52.17,11.08,Master,Married,China,00401000,1
2012040165,M,40.70,11.04,Master,Married,Australia,20060010,1
2012046008,F,39.27,11.08,Bachelor,Married,China,00401000,1
2012070071,F,39.99,10.85,Bachelor,Unmarried,China,20069011,0
2012070104,F,34.33,10.83,Bachelor,Unmarried,China,20060040,1
2012070170,F,32.30,10.84,Bachelor,Unmarried,China,20060010,1
2012070274,F,36.24,10.77,Bachelor,Unmarried,China,20069051,0
2012086103,F,39.71,10.74,Bachelor,Unmarried,China,00104000,1
2012100012,F,43.11,10.56,Master,Married,China,20060010,1
2013050122,M,39.27,9.97,Master,Married,China,00105000,1
2013060043,F,34.47,9.91,Bachelor,Married,China,20060010,1
2013066133,F,42.67,9.85,Master,Married,China,20060040,1
2013070224,F,32.54,9.84,Bachelor,Unmarried,China,00101000,1
2013090315,F,36.54,9.64,Bachelor,Married,China,20060010,1
2014050117,M,37.79,8.94,Bachelor,Unmarried,China,20060010,1
2014050125,F,33.41,8.95,Bachelor,Married,China,20060010,1
2014060028,F,35.22,8.91,Bachelor,Unmarried,China,00105000,1
2014060031,F,33.63,8.88,Bachelor,Unmarried,China,20060010,1
2014070055,F,40.35,12.92,Bachelor,Married,China,20060010,1
2014070123,F,37.68,8.78,Bachelor,Married,China,20069041,0
